Scenario,Name,Primary Code,Secondary Code,Use Code,Spatial Map,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080
Sus,Chemicals,I,CHE,ALL,,0.977647059,0.972058824,0.966470588,0.960882353,0.955294118,0.949705882,0.944117647,0.938529412,0.932941176,0.927352941,0.921764706,0.916176471,0.910588235,0.905,0.899411765,0.893823529,0.888235294,0.882647059,0.877058824,0.871470588,0.865882353,0.860294118,0.854705882,0.849117647,0.843529412,0.837941176,0.832352941,0.826764706,0.821176471,0.815588235,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81
BaU,,,,,,1.025882353,1.032352941,1.038823529,1.045294118,1.051764706,1.058235294,1.064705882,1.071176471,1.077647059,1.084117647,1.090588235,1.097058824,1.103529412,1.11,1.116470588,1.122941176,1.129411765,1.135882353,1.142352941,1.148823529,1.155294118,1.161764706,1.168235294,1.174705882,1.181176471,1.187647059,1.194117647,1.200588235,1.207058824,1.213529412,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22
EG,,,,,,1.031764706,1.039705882,1.047647059,1.055588235,1.063529412,1.071470588,1.079411765,1.087352941,1.095294118,1.103235294,1.111176471,1.119117647,1.127058824,1.135,1.142941176,1.150882353,1.158823529,1.166764706,1.174705882,1.182647059,1.190588235,1.198529412,1.206470588,1.214411765,1.222352941,1.230294118,1.238235294,1.246176471,1.254117647,1.262058824,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27
Sus,paper&pulp,I,PAP,ALL,,0.996470588,0.995588235,0.994705882,0.993823529,0.992941176,0.992058824,0.991176471,0.990294118,0.989411765,0.988529412,0.987647059,0.986764706,0.985882353,0.985,0.984117647,0.983235294,0.982352941,0.981470588,0.980588235,0.979705882,0.978823529,0.977941176,0.977058824,0.976176471,0.975294118,0.974411765,0.973529412,0.972647059,0.971764706,0.970882353,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97
BaU,,,,,,1.014117647,1.017647059,1.021176471,1.024705882,1.028235294,1.031764706,1.035294118,1.038823529,1.042352941,1.045882353,1.049411765,1.052941176,1.056470588,1.06,1.063529412,1.067058824,1.070588235,1.074117647,1.077647059,1.081176471,1.084705882,1.088235294,1.091764706,1.095294118,1.098823529,1.102352941,1.105882353,1.109411765,1.112941176,1.116470588,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12
EG,,,,,,1.029411765,1.036764706,1.044117647,1.051470588,1.058823529,1.066176471,1.073529412,1.080882353,1.088235294,1.095588235,1.102941176,1.110294118,1.117647059,1.125,1.132352941,1.139705882,1.147058824,1.154411765,1.161764706,1.169117647,1.176470588,1.183823529,1.191176471,1.198529412,1.205882353,1.213235294,1.220588235,1.227941176,1.235294118,1.242647059,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25
Sus,food&drink,I,FAD;BRW;DAR,20;30;40;50;70;80;90;120;130;140;150;160;170;180;190;310;350,,0.995294118,0.994117647,0.992941176,0.991764706,0.990588235,0.989411765,0.988235294,0.987058824,0.985882353,0.984705882,0.983529412,0.982352941,0.981176471,0.98,0.978823529,0.977647059,0.976470588,0.975294118,0.974117647,0.972941176,0.971764706,0.970588235,0.969411765,0.968235294,0.967058824,0.965882353,0.964705882,0.963529412,0.962352941,0.961176471,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96
BaU,,ALL,ALL,460;470,,1.029411765,1.036764706,1.044117647,1.051470588,1.058823529,1.066176471,1.073529412,1.080882353,1.088235294,1.095588235,1.102941176,1.110294118,1.117647059,1.125,1.132352941,1.139705882,1.147058824,1.154411765,1.161764706,1.169117647,1.176470588,1.183823529,1.191176471,1.198529412,1.205882353,1.213235294,1.220588235,1.227941176,1.235294118,1.242647059,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25
EG,,,,,,1.057647059,1.072058824,1.086470588,1.100882353,1.115294118,1.129705882,1.144117647,1.158529412,1.172941176,1.187352941,1.201764706,1.216176471,1.230588235,1.245,1.259411765,1.273823529,1.288235294,1.302647059,1.317058824,1.331470588,1.345882353,1.360294118,1.374705882,1.389117647,1.403529412,1.417941176,1.432352941,1.446764706,1.461176471,1.475588235,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49
Sus,SprayIrrigation,A,ALL,380;390;400;410;420,,1.044705882,1.055882353,1.067058824,1.078235294,1.089411765,1.100588235,1.111764706,1.122941176,1.134117647,1.145294118,1.156470588,1.167647059,1.178823529,1.19,1.201176471,1.212352941,1.223529412,1.234705882,1.245882353,1.257058824,1.268235294,1.279411765,1.290588235,1.301764706,1.312941176,1.324117647,1.335294118,1.346470588,1.357647059,1.368823529,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38
BaU,,,,,,1.051764706,1.064705882,1.077647059,1.090588235,1.103529412,1.116470588,1.129411765,1.142352941,1.155294118,1.168235294,1.181176471,1.194117647,1.207058824,1.22,1.232941176,1.245882353,1.258823529,1.271764706,1.284705882,1.297647059,1.310588235,1.323529412,1.336470588,1.349411765,1.362352941,1.375294118,1.388235294,1.401176471,1.414117647,1.427058824,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44
EG,,,,,,1.087058824,1.108823529,1.130588235,1.152352941,1.174117647,1.195882353,1.217647059,1.239411765,1.261176471,1.282941176,1.304705882,1.326470588,1.348235294,1.37,1.391764706,1.413529412,1.435294118,1.457058824,1.478823529,1.500588235,1.522352941,1.544117647,1.565882353,1.587647059,1.609411765,1.631176471,1.652941176,1.674705882,1.696470588,1.718235294,1.74,1.74,1.74,1.74,1.74,1.74,1.74,1.74,1.74,1.74,1.74,1.74,1.74,1.74,1.74,1.74,1.74,1.74,1.74,1.74,1.74,1.74,1.74,1.74,1.74,1.74,1.74,1.74,1.74,1.74,1.74
Sus,Power,P,ELC;MEC,20;80;120;130;160;180;190;200;220;290;310;350;440;450;650,,0.393400417,0.191848199,0.116493769,0.090875827,0.055568733,0.050664338,0.02127486,0.030530121,0.033302121,0.043807891,0.084510305,0.098537196,0.108718471,0.165829419,0.171572704,0.174775867,0.179879928,0.18601094,0.282012504,0.318196462,0.327404493,0.334303293,0.344143854,0.353673638,0.362967433,0.373075974,0.380102827,0.39044402,0.399871124,0.408036798,0.418100581,0.418100581,0.418100581,0.418100581,0.418100581,0.418100581,0.418100581,0.418100581,0.418100581,0.418100581,0.418100581,0.418100581,0.418100581,0.418100581,0.418100581,0.418100581,0.418100581,0.418100581,0.418100581,0.418100581,0.418100581,0.418100581,0.418100581,0.418100581,0.418100581,0.418100581,0.418100581,0.418100581,0.418100581,0.418100581,0.418100581
BaU,,,,,,0.395213091,0.234126681,0.141053679,0.13567375,0.1039439,0.085363649,0.072886053,0.057176067,0.054230455,0.053650509,0.06108587,0.083719341,0.103561095,0.164295289,0.224914796,0.274179529,0.339210882,0.494815596,0.607904332,0.69814517,0.760722918,0.821187073,0.899940794,1.731955032,1.881662071,1.861364383,1.996286888,2.125151622,2.174687049,2.115723606,2.190200556,2.190200556,2.190200556,2.190200556,2.190200556,2.190200556,2.190200556,2.190200556,2.190200556,2.190200556,2.190200556,2.190200556,2.190200556,2.190200556,2.190200556,2.190200556,2.190200556,2.190200556,2.190200556,2.190200556,2.190200556,2.190200556,2.190200556,2.190200556,2.190200556,2.190200556,2.190200556,2.190200556,2.190200556,2.190200556,2.190200556
EG,,,,,,0.391139508,0.238341782,0.154438858,0.149190845,0.135277005,0.126488662,0.134575817,0.164295386,0.087152276,0.047409241,0.03368222,0.021574265,0.017050981,0.020835374,0.042592971,0.057595184,0.057707244,0.068092907,0.146517869,0.36019723,0.342737089,0.371521995,0.416838994,0.366024704,0.380225214,0.3433248,0.336183243,0.358158888,0.356425472,0.333122732,0.281370916,0.281370916,0.281370916,0.281370916,0.281370916,0.281370916,0.281370916,0.281370916,0.281370916,0.281370916,0.281370916,0.281370916,0.281370916,0.281370916,0.281370916,0.281370916,0.281370916,0.281370916,0.281370916,0.281370916,0.281370916,0.281370916,0.281370916,0.281370916,0.281370916,0.281370916,0.281370916,0.281370916,0.281370916,0.281370916,0.281370916
Sus,PWS,W,PWS;WAT,10;40;50;140;160;170;180;190;200;230;240;250;260;280;310;330;340;350;360;400;420;450;650,file_path/EW_WRZ.nc,file_path/PWS_scaling_Sus.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BaU,,,,,,file_path/PWS_scaling_BaU.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EG,,,,,,file_path/PWS_scaling_EG.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
